Date,Close,High,Low,Open,Volume,Adj Close
2020-01-02,208.08888244628906,208.08888244628906,205.99027304980757,206.39458905704603,30969400,208.08888244628906
2020-01-03,206.18280029296875,207.42464165672527,205.31641095610559,205.33566829598263,27518900,206.18280029296875
2020-01-06,207.51126098632812,207.5401396493011,204.31523320861092,204.56551985072494,21655300,207.51126098632812
2020-01-07,207.48240661621094,208.06963064715757,206.82780392678688,207.5882999558586,22139300,207.48240661621094
2020-01-08,209.04188537597656,209.99492530524427,207.12619888200487,207.45350018290873,26397300,209.04188537597656
2020-01-09,210.81320190429688,211.21751788479062,209.58099662401713,210.76506590182353,23547000,210.81320190429688
2020-01-10,210.2740936279297,211.66032820349986,209.8986563211332,211.64108555426068,21898500,210.2740936279297
2020-01-13,212.70001220703125,212.72889087103113,210.8035682627954,211.14050559485497,22756900,212.70001220703125
2020-01-14,211.86251831054688,212.95033037063425,211.53521696666027,212.59413567141934,24418100,211.86251831054688
2020-01-15,211.94912719726562,212.94066711688131,211.25600991708154,211.97800585985289,25742100,211.94912719726562
2020-01-16,213.98036193847656,214.01887661802502,212.5556272651574,213.00807927105038,18805000,213.98036193847656
2020-01-17,215.03929138183594,215.21256336951552,213.82632871189446,214.943019373761,24325200,215.03929138183594
2020-01-21,214.9430389404297,215.48212698101295,214.34619356536214,214.44245089315348,21146300,214.9430389404297
2020-01-22,215.51097106933594,216.7431763041171,215.24142709229287,216.03081637437975,20736400,215.51097106933594
2020-01-23,216.20407104492188,216.30034303860805,214.3846420009869,215.38581785476504,26496100,216.20407104492188
2020-01-24,214.3846893310547,217.44596019978124,213.39314927116754,217.2149161773528,37436500,214.3846893310547
2020-01-27,209.95645141601562,211.0923847858952,209.07079002611857,209.54249938714563,42264400,209.95645141601562
2020-01-28,213.1813507080078,213.67231739217365,210.8805906940185,211.43893603364953,26731900,213.1813507080078
2020-01-29,213.5279083251953,214.60608431969396,212.584504330009,214.36541898599006,28924500,213.5279083251953
2020-01-30,214.28843688964844,214.3846942177357,211.48708864616913,212.1513273728753,39568100,214.28843688964844
2020-01-31,210.89022827148438,215.21256831716073,210.1393389071386,215.18368965188355,52015800,210.89022827148438
2020-02-03,214.07664489746094,214.56759691896625,211.77588475981935,211.9202780928953,25408600,214.07664489746094
2020-02-04,218.9765625,219.3519998115752,216.26185064011347,217.00310393852186,30691200,218.9765625
2020-02-05,219.69859313964844,221.65279467107086,218.37975167858292,221.61429467698002,38534800,219.69859313964844
2020-02-06,221.59500122070312,221.6527585469502,219.46751333998242,220.2472666224085,22467100,221.59500122070312
2020-02-07,220.64198303222656,221.83568841889965,220.00662300275312,220.60348304061307,25884900,220.64198303222656
2020-02-10,223.3085174560547,223.3181387799004,219.85256730875835,219.91032462992078,21478900,223.3085174560547
2020-02-11,223.34703063964844,225.2819891472045,222.7598066913871,224.54073587404466,30198000,223.34703063964844
2020-02-12,225.52268981933594,225.62858316067638,224.10757638917133,224.66592176268944,24471300,225.52268981933594
2020-02-13,225.2338409423828,226.15798746360775,223.68395583105607,223.95349979050036,22773200,225.2338409423828
2020-02-14,225.8788604736328,226.09064714753535,224.82956311869074,225.59005912839783,23438500,225.8788604736328
2020-02-18,225.96548461914062,226.3890579447303,224.54074999683095,224.78141532373002,24394500,225.96548461914062
2020-02-19,228.1314697265625,228.6031790494799,227.0436724510464,227.31321643870044,22230500,228.1314697265625
2020-02-20,226.0136260986328,228.10259942404699,223.22191411457885,227.630904772885,42604000,226.0136260986328
2020-02-21,221.67201232910156,225.2723560384982,220.7574870704223,224.8872974103317,66017200,221.67201232910156
2020-02-24,213.1236114501953,215.87682370236712,212.0357993437528,213.40277679916014,84522600,213.1236114501953
2020-02-25,207.32835388183594,215.6265040523048,206.72188726776398,214.9141294214852,97743000,207.32835388183594
2020-02-26,208.39691162109375,212.0550274551949,206.8759050225816,208.61833429356105,79537700,208.39691162109375
2020-02-27,197.96170043945312,208.33918971886743,197.82692842370935,203.02529438988105,121822600,197.96170043945312
2020-02-28,198.11570739746094,199.43454873734376,190.77059664727153,191.2230486537657,148173700,198.11570739746094
2020-03-02,208.33912658691406,208.48353457441118,198.25044173808763,201.0806679001257,112933900,208.33912658691406
2020-03-03,201.65826416015625,211.4100268213454,199.86771373973244,209.0033738201867,131953500,201.65826416015625
2020-03-04,210.07191467285156,210.17780798557482,203.47768000308415,205.35488097309138,73086200,210.07191467285156
2020-03-05,203.68951416015625,208.2814129720825,202.2551581310623,204.74844753449452,78705500,203.68951416015625
2020-03-06,200.25283813476562,201.34063558032835,195.33363755753174,197.02791641464526,89828400,200.25283813476562
2020-03-09,186.34237670898438,193.6489733060806,184.93688458324715,186.25572601816444,116424000,186.34237670898438
2020-03-10,196.48880004882812,196.67170804748878,186.44823497394106,193.6008161265127,100599200,196.48880004882812
2020-03-11,187.93075561523438,193.25427186687946,185.53372349306278,191.90655181167068,89168800,187.93075561523438
2020-03-12,170.6990966796875,183.65650863431884,170.33328071109597,175.2909801794273,137820700,170.6990966796875
2020-03-13,185.1582794189453,187.21837410798133,171.47886994366365,180.08506471110036,134882000,185.1582794189453
2020-03-16,162.9785614013672,177.78428224075182,162.8437894066201,167.6474599036412,92054400,162.9785614013672
2020-03-17,175.3391571044922,177.50514538168073,163.4406609142412,168.9182069521346,121257100,175.3391571044922
2020-03-18,170.0059814453125,172.5281492023074,160.5718983230018,165.202296553107,114156300,170.0059814453125
2020-03-19,171.02642822265625,176.63874595959146,165.22158114311028,169.12998408539326,120896500,171.02642822265625
2020-03-20,164.3262939453125,176.04188112854132,163.7487059331409,174.9540837622137,118983900,164.3262939453125
2020-03-23,164.44497680664062,168.0626503883391,159.1101006221059,164.8887365225988,124639800,164.44497680664062
2020-03-24,177.17910766601562,177.34310703048257,171.6705926156118,173.56143566068377,94881800,177.17910766601562
2020-03-25,175.8671875,182.82276017074545,173.62904621497813,177.91237440363182,88754900,175.8671875
2020-03-26,185.12835693359375,185.91942839495096,177.1308953136619,177.38171531049974,79887600,185.12835693359375
2020-03-27,178.7612762451172,183.78742144963604,178.14386067142345,180.33374802416697,58845000,178.7612762451172
2020-03-30,185.26341247558594,185.69754494822178,179.7645532657839,180.45914755758488,49356900,185.26341247558594
2020-03-31,183.68128967285156,188.36015209182457,182.52363739279716,184.9547174851546,62659300,183.68128967285156
2020-04-01,175.87680053710938,181.0380202669156,174.47796982315774,178.25000066836228,53715400,175.87680053710938
2020-04-02,179.44625854492188,183.39194587411828,174.58411153671463,174.8445881665469,56465300,179.44625854492188
