Date,Close,High,Low,Open,Volume,Adj Close
2020-01-02,296.1252136230469,296.1434618086508,293.99226220909725,294.91290542669935,59151200,296.1252136230469
2020-01-03,293.8829345703125,295.00411329960116,292.68884653822107,292.74353546966336,77709700,293.8829345703125
2020-01-06,295.0040283203125,295.0860616938453,292.0142192367915,292.13272115990094,55653900,295.0040283203125
2020-01-07,294.174560546875,294.912888770876,293.727897285147,294.4388810496426,40496400,294.174560546875
2020-01-08,295.7425231933594,296.9548319309042,294.1200195395933,294.3661197989049,68296000,295.7425231933594
2020-01-09,297.74774169921875,297.82067881308217,296.71772055042567,297.3011061918994,48473300,297.74774169921875
2020-01-10,296.8908996582031,298.4860581981078,296.4260437995196,298.33111551766575,53029300,296.8908996582031
2020-01-13,298.9327697753906,298.94186605271307,297.082386683004,297.510801872737,47086800,298.9327697753906
2020-01-14,298.4770202636719,299.54348231822837,297.9209789989077,298.49524063629786,62832800,298.4770202636719
2020-01-15,299.1515808105469,299.9081297404282,298.30387436905687,298.3859077842946,72056600,299.1515808105469
2020-01-16,301.63995361328125,301.63995361328125,300.30001924233943,300.5278990481638,54050300,301.63995361328125
2020-01-17,302.5788269042969,302.7884585291991,301.5761501633732,302.3509470912397,95846000,302.5788269042969
2020-01-21,301.986328125,302.78846954692693,301.5488166711206,301.6217259743135,77742400,301.986328125
2020-01-22,302.02288818359375,303.4904491427102,301.8679454358583,302.84325022550865,48914900,302.02288818359375
2020-01-23,302.36920166015625,302.77939649699647,300.2635941747511,301.3756489009387,51963000,302.36920166015625
2020-01-24,299.68023681640625,303.1075588185603,298.3949910655985,303.02552540689584,87578400,299.68023681640625
2020-01-27,294.8765563964844,296.3532135264237,294.1108833593813,294.4481411214826,84062500,294.8765563964844
2020-01-28,297.96661376953125,298.8416646744203,294.9677069156235,296.2985175568416,63834000,297.96661376953125
2020-01-29,297.7204284667969,299.55259115613137,297.5198931086739,299.32471133178075,53888900,297.7204284667969
2020-01-30,298.6866149902344,298.89627442765044,294.9129398382602,295.66036446661803,75491800,298.6866149902344
2020-01-31,293.2630920410156,298.22175888029057,292.3515728105219,298.06678837146853,113845600,293.2630920410156
2020-02-03,295.4416809082031,297.3011883827756,294.62131896327486,294.7398209430448,69083000,295.4416809082031
2020-02-04,299.944580078125,300.8105346597248,298.7231473854342,299.0421847479902,62573200,299.944580078125
2020-02-05,303.4082946777344,303.61795412672234,301.4120930432873,302.87050163975044,65951100,303.4082946777344
2020-02-06,304.42919921875,304.6206104661579,303.3535853975724,304.365386197161,50359700,304.42919921875
2020-02-07,302.8067321777344,304.4383317479117,302.25981501693957,303.3718697108561,64139400,302.8067321777344
2020-02-10,305.0673522949219,305.13116533874893,301.88615800893024,301.9226265793127,42070000,305.0673522949219
2020-02-11,305.59588623046875,307.2001408459539,305.0671896026677,306.41624781367824,54864500,305.59588623046875
2020-02-12,307.5648193359375,307.77445094789596,306.66239641614675,307.0269985310537,43992700,307.5648193359375
2020-02-13,307.2367248535156,308.20293318619815,305.8694457619048,306.1428904532812,54501900,307.2367248535156
2020-02-14,307.72894287109375,307.8474448392001,306.4528213248784,307.64690946641167,64582200,307.72894287109375
2020-02-18,306.93585205078125,307.79268227342084,305.5503251457351,306.7353167259644,57226200,306.93585205078125
2020-02-19,308.4034423828125,309.07795777585227,307.61954912250815,307.90211788539574,48814700,308.4034423828125
2020-02-20,307.1363830566406,308.6768526171269,304.1556976879884,307.85646314336725,74163400,307.1363830566406
2020-02-21,303.9734802246094,306.09730805211063,303.1530905628107,305.78739481387316,113788200,303.9734802246094
2020-02-24,293.89215087890625,304.046464384972,292.81653664920486,294.5484460794996,161088400,293.89215087890625
2020-02-25,284.98651123046875,295.8882745622072,284.1114604678439,295.27757219253857,218913200,284.98651123046875
2020-02-26,283.93829345703125,289.9634233462724,283.2090890630601,286.3811587759355,194773800,283.93829345703125
2020-02-27,271.1861877441406,283.9930261776727,271.1861877441406,278.4327514100049,284353500,271.1861877441406
2020-02-28,270.0467834472656,271.5325647241753,260.2752930240666,263.15569806188904,384975800,270.0467834472656
2020-03-02,281.74151611328125,281.80532914475464,268.40598340350584,271.8241810091955,238703600,281.74151611328125
2020-03-03,273.67449951171875,286.07116546161603,271.2407589694564,282.11517570579525,300139100,273.67449951171875
2020-03-04,285.177978515625,285.39676211227726,276.4911987598748,279.03434596352906,176613400,285.177978515625
2020-03-05,275.6981201171875,281.1763600202487,273.4649145191371,277.9951665598652,186366800,275.6981201171875
2020-03-06,271.1405334472656,272.3437456449538,264.5502664620457,267.2118873410211,228667200,271.1405334472656
2020-03-09,249.9659423828125,259.04466663052983,249.2549584564978,250.94124687205388,309417300,249.9659423828125
2020-03-10,262.9003601074219,262.99148976667317,249.3004824278456,259.4548189035631,276444100,262.9003601074219
2020-03-11,250.0844268798828,256.9937588920719,246.91235745450595,255.8634838386491,255316300,250.0844268798828
2020-03-12,226.15707397460938,243.06576125881952,225.76511340861424,233.3489613279396,392220700,226.15707397460938
2020-03-13,245.4903564453125,247.45924124597292,226.53075439431242,239.8115818422406,329566100,245.4903564453125
2020-03-16,218.62794494628906,234.16934039210489,216.35825651592697,219.84025357126822,297240000,218.62794494628906
2020-03-17,230.43206787109375,233.50389718402428,216.09387404457632,223.35866962977036,262070500,230.43206787109375
2020-03-18,218.76461791992188,226.3940295191016,207.84462130318278,215.3464207649231,327597100,218.76461791992188
2020-03-19,219.22946166992188,225.49160757151066,211.6729741771973,218.08095256947013,289322000,219.22946166992188
2020-03-20,209.78199768066406,224.14949538908877,209.50693107809147,222.37074721498362,347158800,209.78199768066406
2020-03-23,204.41824340820312,210.58883736917826,200.11807712080454,209.22269612416616,326025200,204.41824340820312
2020-03-24,222.93922424316406,223.81027088011052,214.36641010403872,214.9348708645978,235494500,222.93922424316406
2020-03-25,226.27664184570312,235.04201992086357,219.82181757105965,224.5162352253458,299430300,226.27664184570312
2020-03-26,239.4888916015625,240.95587614121874,228.34879937507776,228.77973377835932,257632800,239.4888916015625
